 player                   ,ipl_debut , specialization      , date_of_birth , total_no_of_matches_in_ipl 
 Suryakumar Yadav         ,2012, Batter              , 1990-09-14    ,166
 Suryansh Shedge          ,2025, All rounder         , 2003-01-29    ,5
 Suyash Sharma            ,2023, Bowler              , 2003-05-15    ,27
 Swapnil Singh            ,2016, All rounder         , 1991-01-22    ,14
 Swastik Chhikara         ,      NULL , Batter              , 2004-09-15    ,0
 T.Natarajan              ,2017, Bowler              , 1991-05-27    ,63
 Tim David                ,2021, All rounder         , 1996-03-16    ,50
 Tim Seifert              ,2021, Wicketkeeper Batter , 1994-12-14    ,3
 Travis Head              ,2016, Batter              , 1993-12-26    ,38
 Trent Boult              ,2015, Bowler              , 1989-07-22    ,120
 Tripurana Vijay          ,      NULL , All rounder         , 2001-09-05    ,0
 Tristan Stubbs           ,2022, Wicketkeeper Batter , 2000-08-14    ,32
 Tushar Deshpande         ,2020, Bowler              , 1995-05-15    ,46
 Urvil Patel              ,2025, Wicketkeeper Batter , 1998-10-17    ,3
 V.Satyanarayana Penmetsa ,2025, Bowler              , 1999-07-10    ,2
 Vaibhav Arora            ,2022, Bowler              , 1997-12-14    ,32
 Vaibhav Suryavanshi      ,2025, Batter              , 2011-03-27    ,7
 Vansh Bedi               ,      NULL , Wicketkeeper Batter , 2002-12-23    ,0
 Varun Chakaravarthy      ,2019, Bowler              , 1991-08-29    ,84
 Venkatesh Iyer           ,2021, All rounder         , 1994-12-25    ,62
 Vijay Shankar            ,2014, All rounder         , 1991-01-26    ,78
 Vipraj Nigam             ,2025, All rounder         , 2004-07-28    ,14
 Virat Kohli              ,2008, Batter              , 1988-11-05    ,267
 Vishnu Vinod             ,2017, Wicketkeeper Batter , 1993-12-02    ,6
 Vyshak Vijaykumar        ,2023, Bowler              , 1997-01-31    ,16
 Wanindu Hasaranga        ,2021, Bowler              , 1997-07-29    ,37
 Washington Sundar        ,2017, All rounder         , 1999-10-05    ,66
 Wiaan Mulder             ,2025, All rounder         , 1998-02-19    ,1
 William O'Rourke         ,2025, Bowler              , 2001-08-06    ,3
 Xavier Bartlett          ,2025, Bowler              , 1998-12-17    ,4
 Yash Dayal               ,2022, Bowler              , 1997-12-13    ,43
 Yash Thakur              ,2023, Bowler              , 1998-12-28    ,21
 Yashasvi Jaiswal         ,2020, Batter              , 2001-12-28    ,67
 Yudhvir Singh Charak     ,2023, All rounder         , 1997-09-13    ,9
 Yuvraj Chaudhary         ,      NULL , All rounder         , 2001-10-06    ,0
 Yuzvendra Chahal         ,2013, Bowler              , 1990-07-23    ,174
 Zeeshan Ansari,2025, Bowler, 1999-12-16,10
